,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_speed,Country,Date
303,solnechnyy,-34.65,-59.43,66.99,80,81,1.99,AR,1596609447
304,emet,-22.95,30.48,58.28,66,71,6.96,ZA,1596609186
305,bambanglipuro,51.65,84.32,77.09,46,8,10.04,RU,1596609448
306,sonoita,61.81,51.58,71.6,64,52,6.71,RU,1596609448
307,balkhash,-2.65,10,72.55,81,100,3.38,GA,1596609449
308,pemangkat,4.93,-52.33,73.4,100,5,8.08,GF,1596609449
309,tiznit,-6.13,12.37,73.4,88,40,3.56,AO,1596609451
310,linjiang,56.01,90.39,74.3,48,0,9.62,RU,1596609453
311,lemesos,-11.57,-77.27,59,82,90,10.29,PE,1596609453
312,le port,3.38,-59.8,75.54,88,100,0.58,GY,1596609453
313,grand gaube,-31.67,18.5,50.05,60,0,0.78,ZA,1596609454
314,colomi,71.97,102.5,63.81,86,100,11.92,RU,1596609454
315,bethel,69.3,139.9,67.3,28,74,10.13,RU,1596609454
316,maningrida,63.44,-20.27,52.77,92,100,24.32,IS,1596609455
317,carahue,4.41,114.01,86,74,40,11.41,MY,1596609455
318,ludvika,49,-64.4,62.6,77,90,9.17,CA,1596609455
319,vila franca do campo,30.87,120.09,99,71,100,8.19,CN,1596609456
320,innisfail,50.1,-91.92,51.8,100,5,4.7,CA,1596609455
321,hokitika,36.85,-75.98,78.8,88,40,5.82,US,1596609373
322,luba,-20.22,-70.14,57.2,71,20,3.36,CL,1596609456
323,alofi,19.22,-98.81,64.4,72,75,3.36,MX,1596609457
324,novo aripuana,49.71,72.59,80.6,44,0,17.9,KZ,1596609457
325,flin flon,65.28,-126.83,59,100,90,10.29,CA,1596609457
326,ambato,42.42,-122.83,77,47,1,1.74,US,1596609458
327,kamenskoye,36.62,-121.92,60.01,93,25,3,US,1596609235
328,saldanha,-3.48,23.43,76.23,67,100,2.39,CD,1596609458
329,turtkul,9.49,50.81,89.6,43,100,34.05,SO,1596609375
330,pevek,52.05,-9.52,64.4,93,75,11.41,IE,1596609459
331,kovernino,62.58,6.13,55.4,82,75,12.75,NO,1596609460
332,xiamen,4.42,-7.35,71.08,82,40,4.03,CI,1596609460
333,ville-marie,60.14,-45.24,43.18,85,2,5.1,GL,1596609461
334,mae sai,36.72,117.5,88,72,100,1.01,CN,1596609461
335,ingham,22.89,-109.91,84,79,0,1.99,MX,1596609461
336,louisbourg,4.85,31.58,76.48,75,100,1.74,SS,1596609462
337,mercedes,68.05,39.51,64.81,64,97,15.03,RU,1596609462
338,thohoyandou,47.87,88.12,79.41,30,52,11.9,CN,1596609462
339,soloneshnoye,-30.3,153.13,66,63,0,5.82,AU,1596609381
340,felidhoo,22.81,115.83,82.17,84,100,7,CN,1596609463
341,kortkeros,-5.09,-81.11,60.33,85,0,9.26,PE,1596609463
342,gamba,21.46,-71.14,82.42,85,91,19.19,TC,1596609463
343,cayenne,49.75,142.83,52.83,93,100,3.22,RU,1596609464
344,soyo,32.87,59.22,80.6,28,0,16.11,IR,1596609464
345,nazarovo,-37.81,144.89,51.01,81,75,8.05,AU,1596609464
346,chancay,6.12,81.12,86,84,40,12.75,LK,1596609464
347,lethem,-29.54,31.21,59,82,90,9.17,ZA,1596609465
348,vredendal,43.75,-81.72,64.99,87,34,13.2,CA,1596609465
349,khatanga,42.8,93.45,103.3,11,0,8.79,CN,1596609466
